,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,cellular macromolecule biosynthetic process (GO:0034645),0.7413990298794293,1.5283809848833758,0.006179196704428424,0.5093036052744206,0.359,2/15,1.91%,MEF2A;TOP1
19,"regulation of transcription, DNA-templated (GO:0006355)",0.506395448218229,1.173970361540734,0.009,1.0,1.0,129/397,27.26%,MEF2A;RUNX1;ZBTB20;RBFOX2;ZEB1;PBXIP1;MTDH;ANKRD1;PURB;CBX5;TCF4;TEAD1;CHD7;CDKN1C;TEAD4;HIVEP2;ATF6;RB1;ARID5B;TCF12;RREB1;NFIX;NCOR1;BCL6;PPARGC1B;CHD4;NIPBL;MEF2D;PEG3;BRD3;LRRFIP1;TBX15;NFE2L1;ENO1;NFIC;DDX5;CCAR1;ESR1;BRD7;FOXP1;LCOR;MYOG;SETD5;SMARCA5;CASZ1;CHD2;KLF5;RBPJ;OGT;ZBTB18;NCOA1;FOXN3;CUX1;NSD1;ZHX2;JMJD1C;CAMTA1;NFATC3;E2F2;NCOA2;NR6A1;ATXN1;KMT2E;FUS;WWTR1;SMAD3;RFX3;DHX36;SOX11;SREBF2;DDX17;TBL1XR1;SMARCA4;ZEB2;BCLAF1;SMAD1;DYRK1A;HOXC5;RLF;ATF7;THRAP3;MGA;SMARCC1;IGF2;NPAS3;SFPQ;CREBBP;BICRA;SAFB;GTF2IRD1;BTAF1;CHD3;STAT3;ATRX;PHC3;CCNT2;BBX;ZBTB7A;MPHOSPH8;HIPK2;KLF3;E2F8;BPTF;MEIS2;RFX7;PAX7;CCNT1;NFAT5;MITF;ARID1B;ZFHX3;THRA;MAGED1;TAF15;RSF1;KDM1A;ARID4B;CBFB;CALCOCO1;STAT5B;SBNO1;FOXO3;FOXJ3;KDM5A;BAZ2A;PLAGL1;KLF9;KDM5C;NSD3
20,regulation of transcription by RNA polymerase II (GO:0006357),0.49683949372742087,1.1491684379552738,0.019,1.0,1.0,155/402,32.87%,MEF2A;RUNX1;ZBTB20;ZEB1;MTDH;ANKRD1;PURB;CBX5;TCF4;TEAD1;TEAD4;HIVEP2;ATF6;RB1;ARID5B;TCF12;RREB1;NFIX;NCOR1;BCL6;PPARGC1B;CHD4;NIPBL;MEF2D;PEG3;BRD3;LRRFIP1;TBX15;NFE2L1;ENO1;NFIC;HNRNPU;DDX5;ESR1;BRD7;FOXP1;MAML3;LCOR;MYOG;DOT1L;SMARCA5;CASZ1;CHD2;KLF5;RBPJ;OGT;ZBTB18;CNOT1;TPR;NCOA1;CUX1;NSD1;ZHX2;JMJD1C;CAMTA1;NFATC3;E2F2;NCOA2;NR6A1;ATXN1;FUS;WWTR1;SMAD3;RFX3;DHX36;SOX11;SREBF2;DDX17;TBL1XR1;SMARCA4;ZEB2;BCLAF1;SMAD1;ASXL2;HOXC5;RLF;ATF7;THRAP3;MGA;MLLT10;SMARCC1;CDK8;IGF2;BCAS3;NPAS3;SFPQ;CREBBP;SAFB;GTF2IRD1;SSBP3;CHD3;KMT2C;STAT3;ATRX;GATAD2B;CCNT2;N4BP2L2;BBX;ZBTB7A;HIPK2;KLF3;E2F8;KDM6B;BPTF;MEIS2;PHF21A;RFX7;PAX7;DCAF6;CCNT1;NFAT5;MITF;ARID1B;ZFHX3;THRA;MRTFB;RSF1;ATAD2B;KDM1A;ARID4B;CBFB;CDK7;CALCOCO1;STAT5B;FOXO3;FOXJ3;PLAGL1;KLF9;PRKN;PHF10;KDM4C;HDAC8;PRDM2;APP;PBX1;RIF1;ANKRD2;MED13L;RCOR1;PHF20;INO80;NFKB1;MEF2C;WWOX;SPEN;KDM3A;MED13;PRDM5;SOX5;TRPS1;BRD4;PCGF5;UBP1;TMF1;BACH2
13,negative regulation of transcription by RNA polymerase II (GO:0000122),0.5278045929380343,1.2100264652732895,0.027,1.0,0.998,54/157,24.08%,MEF2A;RUNX1;ZEB1;MTDH;CBX5;RB1;ARID5B;RREB1;NFIX;NCOR1;BCL6;NIPBL;PEG3;LRRFIP1;ENO1;NFIC;HNRNPU;DDX5;ESR1;FOXP1;LCOR;RBPJ;ZBTB18;CNOT1;TPR;CUX1;NSD1;ZHX2;NFATC3;NR6A1;ATXN1;SMAD3;SOX11;SREBF2;TBL1XR1;SMARCA4;ZEB2;IGF2;SFPQ;CREBBP;GTF2IRD1;CHD3;STAT3;ATRX;GATAD2B;N4BP2L2;ZBTB7A;E2F8;BPTF;MEIS2;PHF21A;MITF;ZFHX3;THRA
1,heart development (GO:0007507),0.7031823014814371,1.4613810685143582,0.03144016227180527,0.6820673772596654,0.647,4/17,5.73%,MEF2A;CHD7;NIPBL;MEF2D
3,positive regulation of cell differentiation (GO:0045597),0.6294184136047393,1.352896602419242,0.03907815631262525,1.0,0.954,10/31,17.58%,MEF2A;ZEB1;TCF4;MYOG;WWTR1;SMAD3;DHX36;SOX11;ASXL2;GPC1
2,positive regulation of cellular catabolic process (GO:0031331),0.6816730856166401,1.3956349462649478,0.06605691056910569,1.0,0.886,5/15,15.03%,ZBTB20;MTDH;ATF6;CNOT1;GSK3B
5,regulation of cell differentiation (GO:0045595),0.6182662902961302,1.3147432912565304,0.09716599190283401,1.0,0.984,8/20,18.98%,RUNX1;PURB;BCL6;DDX5;CASZ1;DDX17;IGF2;CREBBP
4,gene expression (GO:0010467),0.6275387611806122,1.3149691037370874,0.10953346855983773,1.0,0.984,6/18,15.54%,MEF2A;RBM39;HNRNPU;TPR;ATXN1;DDX17
8,nervous system development (GO:0007399),0.5882555956130664,1.2545657195748432,0.12449799196787148,1.0,0.997,11/27,22.04%,RBFOX2;TEAD1;CHD7;ATXN1;NAV1;WWTR1;SREBF2;ZEB2;DYRK1A;STAT3;MBD5
