,assays,leiden,topics,keep
10x_hipp_13_Topic1_R0,10x_hipp_13,11,Topic_12,False
10x_hipp_13_Topic2_R0,10x_hipp_13,7,Topic_8,True
10x_hipp_13_Topic3_R0,10x_hipp_13,9,Topic_10,True
10x_hipp_13_Topic4_R0,10x_hipp_13,12,Topic_13,True
10x_hipp_13_Topic5_R0,10x_hipp_13,3,Topic_4,True
10x_hipp_13_Topic6_R0,10x_hipp_13,0,Topic_1,True
10x_hipp_13_Topic7_R0,10x_hipp_13,8,Topic_9,True
10x_hipp_13_Topic8_R0,10x_hipp_13,2,Topic_3,True
10x_hipp_13_Topic9_R0,10x_hipp_13,1,Topic_2,True
10x_hipp_13_Topic10_R0,10x_hipp_13,2,Topic_3,True
10x_hipp_13_Topic11_R0,10x_hipp_13,5,Topic_6,True
10x_hipp_13_Topic12_R0,10x_hipp_13,10,Topic_11,True
10x_hipp_13_Topic13_R0,10x_hipp_13,4,Topic_5,True
10x_hipp_13_Topic1_R1,10x_hipp_13,12,Topic_13,True
10x_hipp_13_Topic2_R1,10x_hipp_13,7,Topic_8,True
10x_hipp_13_Topic3_R1,10x_hipp_13,2,Topic_3,True
10x_hipp_13_Topic4_R1,10x_hipp_13,4,Topic_5,True
10x_hipp_13_Topic5_R1,10x_hipp_13,6,Topic_7,True
10x_hipp_13_Topic6_R1,10x_hipp_13,0,Topic_1,True
10x_hipp_13_Topic7_R1,10x_hipp_13,8,Topic_9,True
10x_hipp_13_Topic8_R1,10x_hipp_13,9,Topic_10,True
10x_hipp_13_Topic9_R1,10x_hipp_13,0,Topic_1,True
10x_hipp_13_Topic10_R1,10x_hipp_13,1,Topic_2,True
10x_hipp_13_Topic11_R1,10x_hipp_13,5,Topic_6,True
10x_hipp_13_Topic12_R1,10x_hipp_13,10,Topic_11,True
10x_hipp_13_Topic13_R1,10x_hipp_13,3,Topic_4,True
10x_hipp_13_Topic1_R2,10x_hipp_13,0,Topic_1,True
10x_hipp_13_Topic2_R2,10x_hipp_13,2,Topic_3,True
10x_hipp_13_Topic3_R2,10x_hipp_13,0,Topic_1,True
10x_hipp_13_Topic4_R2,10x_hipp_13,10,Topic_11,True
10x_hipp_13_Topic5_R2,10x_hipp_13,6,Topic_7,True
10x_hipp_13_Topic6_R2,10x_hipp_13,7,Topic_8,True
10x_hipp_13_Topic7_R2,10x_hipp_13,0,Topic_1,True
10x_hipp_13_Topic8_R2,10x_hipp_13,8,Topic_9,True
10x_hipp_13_Topic9_R2,10x_hipp_13,4,Topic_5,True
10x_hipp_13_Topic10_R2,10x_hipp_13,1,Topic_2,True
10x_hipp_13_Topic11_R2,10x_hipp_13,12,Topic_13,True
10x_hipp_13_Topic12_R2,10x_hipp_13,3,Topic_4,True
10x_hipp_13_Topic13_R2,10x_hipp_13,5,Topic_6,True
10x_hipp_13_Topic1_R3,10x_hipp_13,10,Topic_11,True
10x_hipp_13_Topic2_R3,10x_hipp_13,5,Topic_6,True
10x_hipp_13_Topic3_R3,10x_hipp_13,3,Topic_4,True
10x_hipp_13_Topic4_R3,10x_hipp_13,6,Topic_7,True
10x_hipp_13_Topic5_R3,10x_hipp_13,2,Topic_3,True
10x_hipp_13_Topic6_R3,10x_hipp_13,9,Topic_10,True
10x_hipp_13_Topic7_R3,10x_hipp_13,0,Topic_1,True
10x_hipp_13_Topic8_R3,10x_hipp_13,12,Topic_13,True
10x_hipp_13_Topic9_R3,10x_hipp_13,0,Topic_1,True
10x_hipp_13_Topic10_R3,10x_hipp_13,7,Topic_8,True
10x_hipp_13_Topic11_R3,10x_hipp_13,6,Topic_7,True
10x_hipp_13_Topic12_R3,10x_hipp_13,1,Topic_2,True
10x_hipp_13_Topic13_R3,10x_hipp_13,4,Topic_5,True
10x_hipp_13_Topic1_R4,10x_hipp_13,9,Topic_10,True
10x_hipp_13_Topic2_R4,10x_hipp_13,8,Topic_9,True
10x_hipp_13_Topic3_R4,10x_hipp_13,4,Topic_5,True
10x_hipp_13_Topic4_R4,10x_hipp_13,2,Topic_3,True
10x_hipp_13_Topic5_R4,10x_hipp_13,2,Topic_3,True
10x_hipp_13_Topic6_R4,10x_hipp_13,12,Topic_13,True
10x_hipp_13_Topic7_R4,10x_hipp_13,3,Topic_4,True
10x_hipp_13_Topic8_R4,10x_hipp_13,7,Topic_8,True
10x_hipp_13_Topic9_R4,10x_hipp_13,2,Topic_3,True
10x_hipp_13_Topic10_R4,10x_hipp_13,0,Topic_1,True
10x_hipp_13_Topic11_R4,10x_hipp_13,10,Topic_11,True
