orig.ident	nCount_RNA	nFeature_RNA	gender	tissue	mouse	genotype	age	exp	age_gen	percent.mt	RNA_snn_res.1	seurat_clusters	State	cellType
3xC013	847	411	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.826446280991736	7	7	8	microglia
3xC013	600	303	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	2.33333333333333	7	7	8	microglia
3xC013	2631	1103	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.570125427594071	2	2	1	microglia
3xC013	752	373	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.99468085106383	7	7	8	microglia
3xC013	687	335	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.727802037845706	7	7	8	microglia
3xC013	1490	625	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.604026845637584	4	4	2	microglia
3xC013	593	305	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.674536256323777	1	1	8	microglia
3xC013	1082	540	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.0924214417744917	5	5	2	microglia
3xC013	686	390	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.145772594752187	18	18	0	astrocyte
3xC013	570	313	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.05263157894737	18	18	0	astrocyte
3xC013	648	328	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0	1	1	8	microglia
3xC013	1761	736	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.454287336740488	5	5	2	microglia
3xC013	930	430	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	2.79569892473118	3	3	9	microglia
3xC013	564	340	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.886524822695036	18	18	0	astrocyte
3xC013	574	317	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.522648083623693	18	18	0	astrocyte
3xC013	1929	890	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.15552099533437	9	9	9	microglia
3xC013	1720	681	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.406976744186047	6	6	5	microglia
