Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	176/488	3.820574e-54	1.569278e-50	0	0	5.303045e+00	6.522703e+02	CYFIP1;TMEM179B;HP;SRP14;PYCARD;STK10;LGALS3;PLAU;FTH1;CLEC5A;LAMP2;C3AR1;COTL1;SIRPA;OSTF1;B2M;KCMF1;CD300A;SLC11A1;PRKCD;CYBB;MCEMP1;CYBA;MIF;ARHGAP45;EEF1A1;DYNC1LI1;ACLY;ADAM17;RAB31;TYROBP;ADAM8;S100A9;PPIA;ARL8A;S100A8;KMT2E;PSMD14;BRI3;COPB1;C5AR1;IQGAP1;GPR84;PSEN1;GNS;C3;PLAC8;RAP1B;CNN2;SDCBP;NCSTN;SYNGR1;PRDX4;RAP1A;DPP7;ALDH3B1;PSAP;NEU1;CD14;RAB6A;ATG7;ATP6V1D;S100A11;ATP6V0A1;CTSA;HSPA8;FUCA1;FUCA2;SURF4;GGH;DNAJC13;ARPC5;EEF2;PRDX6;NFKB1;BST2;DIAPH1;PTPRC;LCN2;DEGS1;MAN2B1;HPSE;ARHGAP9;HSP90AB1;B4GALT1;DDX3X;HEXB;ITGB2;SNAP23;CTSZ;GDI2;LPCAT1;PTPRJ;SLC2A3;PYGL;TCIRG1;ITGAL;AP2A2;CTSS;GLIPR1;GM2A;TIMP2;ITGAX;CTSH;RAC1;GUSB;SPTAN1;CD33;CTSC;CTSB;CAP1;CD53;ACTR2;CCT2;MANBA;FCER1G;ANXA2;APAF1;ANXA3;NFAM1;PGAM1;GAA;ATP6AP2;RHOG;PLAUR;TMC6;DYNLL1;TNFRSF1B;DDOST;RHOA;VAMP8;DNAJC3;FGR;PKM;RAP2B;PSMA2;NPC2;DNAJC5;PLEKHO2;CD47;ALDOA;DOCK2;ATP6V0C;CD44;TLR2;CD63;CSTB;ASAH1;GRN;CANT1;ROCK1;CAB39;PTAFR;MOSPD2;PRCP;CST3;NRAS;PGRMC1;CREG1;PSMB1;MAPK1;CCT8;LAIR1;DYNC1H1;GSN;TMEM30A;FABP5;PSMC3;RAB14;VAPA;GLB1;PTPN6;LAMTOR1;YPEL5;CD68;LAMTOR3
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	175/485	7.189000e-54	1.569278e-50	0	0	5.304707e+00	6.491213e+02	CYFIP1;TMEM179B;HP;SRP14;PYCARD;STK10;LGALS3;PLAU;FTH1;CLEC5A;LAMP2;C3AR1;COTL1;SIRPA;OSTF1;B2M;KCMF1;CD300A;SLC11A1;PRKCD;CYBB;MCEMP1;CYBA;MIF;ARHGAP45;EEF1A1;DYNC1LI1;ACLY;RAB31;TYROBP;ADAM8;S100A9;PPIA;ARL8A;S100A8;PSMD14;BRI3;COPB1;C5AR1;IQGAP1;GPR84;PSEN1;GNS;C3;PLAC8;RAP1B;CNN2;SDCBP;NCSTN;SYNGR1;PRDX4;RAP1A;DPP7;ALDH3B1;PSAP;NEU1;CD14;RAB6A;ATG7;ATP6V1D;S100A11;ATP6V0A1;CTSA;HSPA8;FUCA1;FUCA2;SURF4;GGH;DNAJC13;ARPC5;EEF2;PRDX6;NFKB1;BST2;DIAPH1;PTPRC;LCN2;DEGS1;MAN2B1;HPSE;ARHGAP9;HSP90AB1;B4GALT1;DDX3X;HEXB;ITGB2;SNAP23;CTSZ;GDI2;LPCAT1;PTPRJ;SLC2A3;PYGL;TCIRG1;ITGAL;AP2A2;CTSS;GLIPR1;GM2A;TIMP2;ITGAX;CTSH;RAC1;GUSB;SPTAN1;CD33;CTSC;CTSB;CAP1;CD53;ACTR2;CCT2;MANBA;FCER1G;ANXA2;APAF1;SYK;ANXA3;NFAM1;PGAM1;GAA;ATP6AP2;RHOG;PLAUR;TMC6;DYNLL1;TNFRSF1B;DDOST;RHOA;VAMP8;DNAJC3;FGR;PKM;RAP2B;PSMA2;NPC2;DNAJC5;PLEKHO2;CD47;ALDOA;DOCK2;ATP6V0C;CD44;TLR2;CD63;CSTB;ASAH1;GRN;CANT1;ROCK1;CAB39;PTAFR;MOSPD2;PRCP;CST3;NRAS;PGRMC1;CREG1;PSMB1;MAPK1;CCT8;LAIR1;DYNC1H1;GSN;TMEM30A;FABP5;PSMC3;RAB14;VAPA;GLB1;PTPN6;LAMTOR1;YPEL5;CD68;LAMTOR3
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	174/481	9.553234e-54	1.569278e-50	0	0	5.324005e+00	6.499690e+02	CYFIP1;TMEM179B;HP;SRP14;PYCARD;STK10;LGALS3;PLAU;FTH1;CLEC5A;LAMP2;C3AR1;COTL1;SIRPA;OSTF1;B2M;KCMF1;CD300A;SLC11A1;PRKCD;CYBB;MCEMP1;CYBA;MIF;ARHGAP45;EEF1A1;DYNC1LI1;ACLY;RAB31;TYROBP;ADAM8;S100A9;PPIA;ARL8A;S100A8;PSMD14;BRI3;COPB1;C5AR1;IQGAP1;GPR84;PSEN1;GNS;C3;PLAC8;RAP1B;CNN2;SDCBP;NCSTN;SYNGR1;PRDX4;RAP1A;DPP7;ALDH3B1;PSAP;NEU1;CD14;RAB6A;ATG7;ATP6V1D;S100A11;ATP6V0A1;CTSA;HSPA8;FUCA1;FUCA2;SURF4;GGH;DNAJC13;ARPC5;EEF2;PRDX6;NFKB1;BST2;DIAPH1;PTPRC;LCN2;DEGS1;MAN2B1;HPSE;ARHGAP9;HSP90AB1;B4GALT1;DDX3X;HEXB;ITGB2;SNAP23;CTSZ;GDI2;LPCAT1;PTPRJ;SLC2A3;PYGL;TCIRG1;ITGAL;AP2A2;CTSS;GLIPR1;GM2A;TIMP2;ITGAX;CTSH;RAC1;GUSB;SPTAN1;CD33;CTSC;CTSB;CAP1;CD53;ACTR2;CCT2;MANBA;FCER1G;ANXA2;APAF1;ANXA3;NFAM1;PGAM1;GAA;ATP6AP2;RHOG;PLAUR;TMC6;DYNLL1;TNFRSF1B;DDOST;RHOA;VAMP8;DNAJC3;FGR;PKM;RAP2B;PSMA2;NPC2;DNAJC5;PLEKHO2;CD47;ALDOA;DOCK2;ATP6V0C;CD44;TLR2;CD63;CSTB;ASAH1;GRN;CANT1;ROCK1;CAB39;PTAFR;MOSPD2;PRCP;CST3;NRAS;PGRMC1;CREG1;PSMB1;MAPK1;CCT8;LAIR1;DYNC1H1;GSN;TMEM30A;FABP5;PSMC3;RAB14;VAPA;GLB1;PTPN6;LAMTOR1;YPEL5;CD68;LAMTOR3
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	69/94	6.410943e-48	7.898282e-45	0	0	2.494578e+01	2.710760e+03	RPL4;RPL5;RPL30;TRAM1;RPL3;ARL6IP1;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;SRP14;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS17;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS8;RPL23;RPS5;SSR2;RPL22;RPL13A;RPSA;SRP9;RPL37A;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;SSR1;RPS2;RPL18;RPL19;RPL41;RPL35A;RPS26;RPS25;RPS28;RPS29;RPL27A;RPS20;RPS21;RPS24
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	68/93	4.725668e-47	4.657618e-44	0	0	2.457185e+01	2.621043e+03	EIF4A2;RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS17;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS8;RPL23;RPS5;RPL22;RPL13A;RPSA;RPL37A;ETF1;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPS2;RPL18;RPL19;RPL41;TMA7;RPL35A;RPS26;RPS25;EIF3M;RPS28;RPS29;EIF3I;RPL27A;RPS20;RPS21;RPS24
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	66/90	7.719357e-46	6.340165e-43	0	0	2.481923e+01	2.578103e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;SRP14;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS17;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;SEC61B;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS8;RPL23;RPS5;RPL22;RPL13A;RPSA;SRP9;RPL37A;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPS2;RPL18;RPL19;RPL41;RPL35A;RPS26;RPS25;RPS28;RPS29;RPL27A;RPS20;RPS21;RPS24
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	70/103	6.497266e-45	4.574076e-42	0	0	1.917332e+01	1.950788e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;ZFAND2A;RPLP0;RPL10A;RPL8;SRP14;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS8;RPL23;RPS5;RPL22;RPL13A;RPSA;SRP9;RPL37A;CHMP4B;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPS2;RPL18;RPL19;RPL41;EDEM1;RPL35A;RPS26;RPS25;RPS28;SPCS2;SPCS1;RPS29;RPL27A;RPS20;RPS21;RPS24
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	70/113	7.495249e-41	4.617074e-38	0	0	1.470619e+01	1.358730e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;EIF4A3;RPLP0;SMG9;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPL18A;RPS19;PPP2R1A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS8;RPL23;RPS5;RPL22;RPL13A;RPSA;RPL37A;ETF1;RPL26;PABPC1;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPS2;RPL18;RPL19;RPL41;RPL35A;PNRC2;RPS26;RPS25;RPS28;RPS29;RPL27A;RPS20;EIF3E;RPS21;RPS24
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	80/171	2.076447e-34	1.136970e-31	0	0	7.960680e+00	6.174084e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;EIF4A3;RPLP0;SMG9;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;ZFP36;RPL18A;RPS19;PPP2R1A;RPS18;ZC3H12A;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;CNOT6L;RPL21;RPS8;RPL23;RPS5;RPL22;RPL13A;RPSA;PATL2;CSDE1;RPL37A;ETF1;RPL26;PABPC1;RPL29;UBA52;DDX5;RPL10;RPL12;RPL11;ZFP36L1;RPS15A;RPL14;RPS3;RPS2;TENT2;RPL18;RPL19;RPL41;RPL35A;PNRC2;RPS26;RPS25;CNOT6;RPS28;PAN3;RPS29;RPL27A;RPS20;EIF3E;RPS21;RPS24
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	166/621	2.932417e-32	1.445095e-29	0	0	3.383914e+00	2.456955e+02	IFITM3;CD86;IFITM1;IL1RN;SPI1;CSF3R;CSF1;CD80;PITPNA;IRS2;IFI30;TNF;IFIT3;ICAM1;TXNDC17;PSMD8;PYCARD;PSMD4;PIM1;AKT1;TRIM25;MAP3K8;JUNB;B2M;IFNAR2;RSAD2;FBXW11;IL1R2;PRKCD;TALDO1;MIF;RBX1;ADAM17;IFI27;BOLA2;PSME1;UBA52;SQSTM1;PPIA;CSF1R;PSMD14;PDGFB;CSF2RB;TNFRSF11A;ADIPOR1;CSF2RA;HSP90B1;RAP1B;CNN2;SOCS3;UGCG;BCL2L11;HNRNPDL;IRAK1;UBB;IRAK2;INPP5D;UBC;ABL2;SOCS6;MCL1;HSPA9;EGR1;HSPA8;TGFB1;VCAM1;FN1;IL31RA;MSN;NFKB1;BST2;NFKBIA;BCL6;BCL2;LCN2;TNFSF9;GRB2;MAP3K14;BCL2L1;ITGB1;ARF1;CDKN1A;RPLP0;ITGB2;PIK3CD;PTPRJ;CXCL2;LMNB1;IKBKB;TMSB4X;ITGAX;JAK1;EIF5A;FCER1G;ANXA2;SYK;TNFRSF12A;IFNGR1;RIPK2;IFNGR2;FOS;GAB2;TNFRSF1B;YWHAZ;VAV1;TNFRSF1A;IL17RA;PSMA6;HCK;PSMA1;PSMA2;IL1B;IRF1;CANX;RAPGEF1;IRF7;IRF5;LCP1;CD44;IRF9;BIRC3;CEBPA;SP100;CAMK2D;PELI2;PTAFR;PTGS2;SAMHD1;PSMA7;RELA;PSMB6;CDC42;PSMB4;PSMB2;PSMB3;CCL5;PSMB1;CCL4;CCL3;S1PR1;PTK2B;CSK;PAK2;MAPK3;IL10RB;STAT1;IL10RA;STAT2;STAT3;OSM;SOD2;PSMB8;PSMB9;BATF;VEGFA;SOD1;PSMC3;TNIP2;HNRNPA2B1;PTPN6;P4HB;LTBR;VIM;CRLF2;LIMS1;PF4
GO_Biological_Process_2021	cellular protein metabolic process (GO:0044267)	122/417	9.225342e-28	4.132953e-25	0	0	3.782675e+00	2.354731e+02	RPL4;RPL5;APP;RPL30;RPL3;RPL32;CSF1;RPL31;RPL34;UBE2D3;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;PCMT1;RPS14;RPS17;LGALS1;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS8;RPL23;RPS5;APLP2;RPL22;SHISA5;RPSA;FBXO11;PDIA6;EEF1A1;ADAM17;LOX;RPL26;RPL29;UBA52;RPN2;RPN1;PSEN2;CSF2RB;PSEN1;CSF2RA;HSP90B1;C3;NCSTN;STK38;ABL2;APOE;ST3GAL1;RPL41;UBE2I;FUCA2;TMEM132A;FN1;IGF1;RPS26;RPS25;RPS28;RPS29;RPL27A;RPS20;MAN2B1;RPS21;RPS24;LGMN;MRPS16;PRKCSH;RPLP1;RPLP0;MIA3;IDE;NAGPA;RPS4X;UBL5;RPL7A;SERP1;RPLP2;CTSH;MANBA;RPL13A;MRPS21;MRPL52;DNAJC3;RPL37A;FAM20C;RPL10;RPL12;RPL11;FURIN;NEDD8;RRBP1;CLN5;CST3;RPS15A;RPL14;RPS3;SPP1;RPS2;RPL18;SEC11A;RPL19;SEC11C;USP25;RPL35A;SPCS2;SPCS1;TNIP1;P4HB;MSRB1
