,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,regulation of blood vessel endothelial cell migration (GO:0043535),0.8742689072030646,1.7921954003508858,0.0,0.06421990618736458,0.045,3/15,2.58%,APOE;TMSB4X;TNF
55,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",0.7468135710031523,1.6016209783893367,0.0,0.06840125722209134,0.818,47/70,19.30%,RPLP1;RPS5;RPS14;RPLP0;RPS9;RPS3;RPS15;RPL32;RPL8;RPL4;RPSA;RPS24;RPL23;RPS4X;RPLP2;RPS21;RPL41;RPS20;RPS19;RPL19;RPS18;RPL18A;RPL26;RPL34;RPL14;RPS29;RPL7;RPS25;RPS11;RPL18;RPS26;RPS10;RPL22;PABPC1;RPL37A;RPS8;RPL6;RPL3;RPS15A;RPS2;RPL21;RPL37;RPS17;RPL29;RPL11;RPL39;RPS28
57,protein targeting to ER (GO:0045047),0.7454432486169568,1.5992482327244146,0.0,0.068325210535151,0.829,47/70,19.30%,RPLP1;RPS5;RPS14;RPLP0;RPS9;RPS3;RPS15;RPL32;RPL8;RPL4;RPSA;RPS24;RPL23;RPS4X;RPLP2;RPS21;RPL41;RPS20;RPS19;RPL19;RPS18;RPL18A;RPL26;RPL34;RPL14;RPS29;RPL7;RPS25;RPS11;RPL18;RPS26;RPS10;RPL22;RPL37A;RPS8;RPL6;RPL3;RPS15A;RPS2;RPL21;ZFAND2A;RPL37;RPS17;RPL29;RPL11;RPL39;RPS28
58,translation (GO:0006412),0.7428688904271051,1.598074765776363,0.0,0.06830586632027644,0.834,50/79,19.30%,EEF1A1;RPLP1;RPS5;RPS14;RPLP0;RPS9;RPS3;RPS15;RPL32;RPL8;RPL4;RPSA;RPS24;RPL23;RPS4X;RPLP2;RPS21;RPL41;RPS20;LARS2;RPS19;EEF2;EEF1B2;RPL19;RPS18;RPL18A;RPL26;RPL34;RPL14;RPS29;RPL7;RPS25;RPS11;RPL18;RPS26;RPS10;RPL22;RPL37A;RPS8;RPL6;RPL3;RPS15A;RPS2;RPL21;RPL37;RPS17;RPL29;RPL11;RPL39;RPS28
60,cytoplasmic translation (GO:0002181),0.7436832788611907,1.5961931004652887,0.0,0.0675564259035303,0.838,46/68,19.30%,RPLP1;RPS5;RPS14;RPLP0;RPS9;RPS3;RPS15;RPL32;RPL8;RPL4;RPSA;RPS24;RPL23;RPS4X;RPS21;RPL41;RPS20;RPS19;RPL19;RPS18;RPL18A;RPL26;RPL34;RPL14;RPS29;RPL7;RPS25;RPS11;RPL18;RPS26;RPS10;RPL22;RPL37A;RPS8;RPL6;RPL3;RPS15A;RPS2;EIF4A1;RPL21;RPL37;RPS17;RPL29;RPL11;RPL39;RPS28
62,nuclear-transcribed mRNA catabolic process (GO:0000956),0.7403272444136155,1.5945532068536643,0.0,0.06663501377047915,0.844,51/80,19.30%,RPLP1;RPS5;ZFP36;RPS14;RPLP0;RPS9;RPS3;RPS15;RPL32;RPL8;PATL2;RPL4;RPSA;RPS24;RPL23;RPS4X;RPLP2;RPS21;RPL41;RPS20;RPS19;ZFP36L1;RPL19;RPS18;RPL18A;RPL26;DDX5;RPL34;RPL14;RPS29;RPL7;RPS25;RPS11;RPL18;RPS26;RPS10;RPL22;PABPC1;RPL37A;RPS8;RPL6;RPL3;RPS15A;RPS2;RPL21;RPL37;RPS17;RPL29;RPL11;RPL39;RPS28
66,cotranslational protein targeting to membrane (GO:0006613),0.7420191022030033,1.5831276243456551,0.0,0.07168150722773346,0.88,46/69,19.30%,RPLP1;RPS5;RPS14;RPLP0;RPS9;RPS3;RPS15;RPL32;RPL8;RPL4;RPSA;RPS24;RPL23;RPS4X;RPLP2;RPS21;RPL41;RPS20;RPS19;RPL19;RPS18;RPL18A;RPL26;RPL34;RPL14;RPS29;RPL7;RPS25;RPS11;RPL18;RPS26;RPS10;RPL22;RPL37A;RPS8;RPL6;RPL3;RPS15A;RPS2;RPL21;RPL37;RPS17;RPL29;RPL11;RPL39;RPS28
75,cellular protein metabolic process (GO:0044267),0.7271086408923623,1.574887664159975,0.0,0.07008289762268874,0.904,60/122,18.37%,APOE;SPP1;EEF1A1;CSF1;RPLP1;CST3;RPS5;RPS14;RPLP0;RPS9;RPS3;RPS15;RPL32;IGF1;RPL8;RPL4;RPSA;RPS24;RPL23;RPS4X;RPLP2;APLP2;RPS21;MAN2B1;RPL41;RPS20;CTSH;RPS19;RPL19;RPS18;RPL18A;RPL26;RPL34;RPL14;RPS29;RPL7;SHISA5;RPS25;RPS11;RPL18;RPS26;RPS10;LGMN;RPL22;RPL37A;SERP1;CSF2RA;RPS8;UBE2D3;RPL6;RPL3;CSF2RB;RPS15A;RPS2;RPL21;RPL37;RPN2;RPS17;RPL29;RPL11
76,regulation of inflammatory response (GO:0050727),0.7390763216682849,1.5742390201266556,0.0,0.06967314497450343,0.907,13/48,7.50%,APOE;CCL3;IL1B;TMSB4X;LPL;TNF;NFKBIA;GRN;TLR2;SIRPA;NFKBIZ;OSM;TNFAIP3
199,regulation of gene expression (GO:0010468),0.613048364499251,1.3424043230169962,0.0,0.24070921621043656,1.0,31/164,11.16%,APOE;CCL3;TYROBP;TREM2;CSF1;IL1B;CLEC7A;ID2;TNF;RPS3;RACK1;TLR2;IGF1;NFE2L2;SIRPA;BTG1;NFKBIZ;CEBPB;RPL23;ITGAX;CD74;CTSH;ZFP36L1;GPX1;PTPRC;DDX3X;EGR1;SLC11A1;PFDN5;TAPBP;LGMN
